id,Revenue,1,2,3,4,5,6,7,8,9
ORDX35,1040,Plain Rice, ,Special Fried Rice,Lamb Biryani,Korma - Lamb,,,,
ORDX36,1301,Plain Rice,Chicken Tikka Balti,Special Fried Rice,,,,,,
ORDX37,943,Plain Rice,Curry,,,,,,,
ORDX38,1083, ,House white wine 75cl,Curry,,,,,,
ORDX39,1078,Plain Rice,Special Fried Rice,Lamb Biryani,,,,,,
ORDX40,691,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Korma - Lamb,,,,
ORDX41,983,Plain Rice,Bhuna - Chicken,Special Fried Rice,Curry,Lamb Biryani,,,,
ORDX42,1275,Plain Rice,Bhuna - Chicken, ,House white wine 75cl,Curry,Lamb Biryani,Korma - Lamb,,
ORDX43,869,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,,
ORDX44,577,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti, ,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,
ORDX45,399,Plain Rice,Curry,Lamb Biryani,,,,,,
ORDX46,974,Chicken Tikka Balti, ,House white wine 75cl,Vindaloo - Prawn,,,,,
ORDX47,706,Plain Rice,Bhuna - Chicken,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,,,,
ORDX48,495, ,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,,,,,
ORDX49,1278,Plain Rice,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,,
ORDX50,601,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,Special Fried Rice,,,,,
ORDX51,941,House white wine 75cl,Curry,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,,
ORDX52,933,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,,,,
ORDX53,573,Bhuna - Chicken,Chicken Tikka Balti,Lamb Biryani,Vindaloo - Prawn,,,,,
ORDX54,752,Chicken Tikka Balti,House white wine 75cl,Vindaloo - Prawn,,,,,,
ORDX55,610,Bhuna - Chicken, ,Curry,Vindaloo - Prawn,Korma - Lamb,,,,
ORDX56,686,Plain Rice,Bhuna - Chicken,House white wine 75cl,Special Fried Rice,Korma - Lamb,,,,
ORDX57,905,Chicken Tikka Balti,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,,,,,
ORDX58,780,Chicken Tikka Balti,Special Fried Rice,Curry,Vindaloo - Prawn,,,,,
ORDX59,807, ,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,,,
ORDX60,1142,Plain Rice,Chicken Tikka Balti, ,House white wine 75cl,Vindaloo - Prawn,,,,
ORDX61,527, ,House white wine 75cl,Curry,Vindaloo - Prawn,Korma - Lamb,,,,
ORDX62,1157,Plain Rice,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,,,
ORDX63,1051,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,Special Fried Rice,,,,,
ORDX64,860,Plain Rice,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,,
ORDX65,1048,Chicken Tikka Balti,Curry,,,,,,,
ORDX66,1182,Bhuna - Chicken,House white wine 75cl,Special Fried Rice,Vindaloo - Prawn,Korma - Lamb,,,,
ORDX67,722,Plain Rice,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,,,,
ORDX68,1369,Bhuna - Chicken,Special Fried Rice,,,,,,,
ORDX69,937,Plain Rice,Chicken Tikka Balti, ,House white wine 75cl,Vindaloo - Prawn,Korma - Lamb,,,
ORDX70,1300,Bhuna - Chicken,Chicken Tikka Balti, ,Curry,Korma - Lamb,,,,
ORDX71,1275,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,,,
ORDX72,695, ,Special Fried Rice,Curry,Lamb Biryani,Korma - Lamb,,,,
ORDX73,1147,Plain Rice, ,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,,,,
ORDX74,453,Plain Rice,Bhuna - Chicken, ,Curry,Lamb Biryani,,,,
ORDX75,419,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Curry,Lamb Biryani,,,,
ORDX76,1082,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Curry,Vindaloo - Prawn,Korma - Lamb,,
ORDX77,1316,Plain Rice,Bhuna - Chicken, ,Special Fried Rice,Vindaloo - Prawn,,,,
ORDX78,1148,Plain Rice,Korma - Lamb,,,,,,,
ORDX79,802,Chicken Tikka Balti,House white wine 75cl,Vindaloo - Prawn,,,,,,
ORDX80,793,Bhuna - Chicken,Chicken Tikka Balti, ,Curry,Korma - Lamb,,,,
ORDX81,1352,Plain Rice, ,House white wine 75cl,Curry,Vindaloo - Prawn,Korma - Lamb,,,
ORDX82,1307,Chicken Tikka Balti, ,,,,,,,
ORDX83,1126,Bhuna - Chicken,Vindaloo - Prawn,,,,,,,
ORDX84,1130, ,Curry,,,,,,,
ORDX85,1202,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Curry,Vindaloo - Prawn,Korma - Lamb,,
ORDX86,1109,Bhuna - Chicken,Chicken Tikka Balti,Special Fried Rice,,,,,,
ORDX87,961, ,Korma - Lamb,,,,,,,
ORDX88,686,Plain Rice,Chicken Tikka Balti,Special Fried Rice,Lamb Biryani,,,,,
ORDX89,937,Plain Rice,Bhuna - Chicken,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,
ORDX90,1125,Plain Rice, ,Lamb Biryani,Vindaloo - Prawn,,,,,
ORDX91,1266,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Curry,Vindaloo - Prawn,Korma - Lamb,,,
ORDX92,870,Bhuna - Chicken, ,Vindaloo - Prawn,,,,,,
ORDX93,437,Bhuna - Chicken,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,,,,
ORDX94,570,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,,,,,,
ORDX95,889,Bhuna - Chicken,Chicken Tikka Balti, ,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,
ORDX96,1052,Bhuna - Chicken,Chicken Tikka Balti,Special Fried Rice,Vindaloo - Prawn,Korma - Lamb,,,,
ORDX97,387,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,Curry,Korma - Lamb,,,,
ORDX98,1049,Bhuna - Chicken,Chicken Tikka Balti,Korma - Lamb,,,,,,
ORDX99,591,Plain Rice,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,,
ORDX100,1359,Bhuna - Chicken,Chicken Tikka Balti, ,Special Fried Rice,Lamb Biryani,Korma - Lamb,,,
ORDX101,1006,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,,,
ORDX102,416,Bhuna - Chicken, ,House white wine 75cl,Curry,Vindaloo - Prawn,,,,
ORDX103,668,Bhuna - Chicken,Chicken Tikka Balti,Lamb Biryani,,,,,,
ORDX104,1161,Special Fried Rice,Curry,,,,,,,
ORDX105,938,Plain Rice,Bhuna - Chicken, ,Special Fried Rice,,,,,
ORDX106,527, ,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,,,,
ORDX107,599,Bhuna - Chicken,Chicken Tikka Balti,Special Fried Rice,Curry,Vindaloo - Prawn,,,,
ORDX108,705,Chicken Tikka Balti, ,Special Fried Rice,Curry,Lamb Biryani,Korma - Lamb,,,
ORDX109,531,Chicken Tikka Balti,House white wine 75cl,,,,,,,
ORDX110,413,Chicken Tikka Balti, ,Curry,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,
ORDX111,378,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,Special Fried Rice,Vindaloo - Prawn,,,,
ORDX112,675,Plain Rice,Bhuna - Chicken,House white wine 75cl,Korma - Lamb,,,,,
ORDX113,1314,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,Special Fried Rice,Curry,Lamb Biryani,Korma - Lamb,,
ORDX114,402,Plain Rice,Bhuna - Chicken, ,Vindaloo - Prawn,,,,,
ORDX115,845,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,
ORDX116,525,Bhuna - Chicken,Chicken Tikka Balti, ,Special Fried Rice,Vindaloo - Prawn,Korma - Lamb,,,
ORDX117,771,Plain Rice,Bhuna - Chicken, ,Special Fried Rice,Lamb Biryani,,,,
ORDX118,562,Plain Rice, ,House white wine 75cl,Special Fried Rice,Curry,Korma - Lamb,,,
ORDX119,645,Plain Rice,Bhuna - Chicken,Curry,,,,,,
ORDX120,854, ,Special Fried Rice,Curry,,,,,,
ORDX121,772,Chicken Tikka Balti, ,Curry,Korma - Lamb,,,,,
ORDX122,356,Chicken Tikka Balti, ,Curry,Lamb Biryani,,,,,
ORDX123,858,Plain Rice,House white wine 75cl,Korma - Lamb,,,,,,
ORDX124,402,House white wine 75cl,Special Fried Rice,Vindaloo - Prawn,,,,,,
ORDX125,1288,Chicken Tikka Balti,Special Fried Rice,Curry,Korma - Lamb,,,,,
ORDX126,1027,Plain Rice,Bhuna - Chicken, ,House white wine 75cl,Special Fried Rice,Korma - Lamb,,,
ORDX127,697, ,House white wine 75cl,Special Fried Rice,Lamb Biryani,,,,,
ORDX128,1299,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,,,,,
ORDX129,457,Bhuna - Chicken,Chicken Tikka Balti, ,Special Fried Rice,Lamb Biryani,,,,
ORDX130,1010,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Lamb Biryani,Korma - Lamb,,,
ORDX131,807,Bhuna - Chicken,Chicken Tikka Balti, ,Korma - Lamb,,,,,
ORDX132,1152,Plain Rice,House white wine 75cl,Curry,Korma - Lamb,,,,,
ORDX133,1349,Bhuna - Chicken, ,Special Fried Rice,Curry,Vindaloo - Prawn,,,,
ORDX134,1300,Bhuna - Chicken, ,Special Fried Rice,Curry,,,,,
ORDX135,701,Plain Rice,Special Fried Rice,Curry,Vindaloo - Prawn,,,,,
ORDX136,1243,Plain Rice,Chicken Tikka Balti,Special Fried Rice,,,,,,
ORDX137,783,Plain Rice, ,,,,,,,
ORDX138,678,Bhuna - Chicken,Chicken Tikka Balti,Special Fried Rice,Vindaloo - Prawn,,,,,
ORDX139,778,Plain Rice,Lamb Biryani,,,,,,,
ORDX140,1228,Plain Rice,Chicken Tikka Balti,Special Fried Rice,Curry,Vindaloo - Prawn,Korma - Lamb,,,
ORDX141,765, ,House white wine 75cl,Korma - Lamb,,,,,,
ORDX142,453,Bhuna - Chicken, ,Lamb Biryani,Korma - Lamb,,,,,
ORDX143,497,Chicken Tikka Balti, ,Special Fried Rice,Curry,Lamb Biryani,Korma - Lamb,,,
ORDX144,503,Plain Rice,Bhuna - Chicken, ,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,
ORDX145,924,Plain Rice,Bhuna - Chicken,Curry,Lamb Biryani,,,,,
ORDX146,1115,Plain Rice,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Lamb Biryani,Korma - Lamb,,
ORDX147,948,Bhuna - Chicken,Chicken Tikka Balti, ,Special Fried Rice,,,,,
ORDX148,706,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Korma - Lamb,,,,,
ORDX149,1234,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Curry,Korma - Lamb,
ORDX150,341,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Vindaloo - Prawn,Korma - Lamb,,,
ORDX151,1338,Bhuna - Chicken,Chicken Tikka Balti, ,Curry,Lamb Biryani,Vindaloo - Prawn,,,
ORDX152,945, ,House white wine 75cl,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,,,,
ORDX153,683,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Korma - Lamb,,,
ORDX154,1348,Plain Rice,Bhuna - Chicken,House white wine 75cl,Lamb Biryani,,,,,
ORDX155,556,Plain Rice,Chicken Tikka Balti, ,Vindaloo - Prawn,Korma - Lamb,,,,
ORDX156,1063,Bhuna - Chicken,House white wine 75cl,Special Fried Rice,Lamb Biryani,Korma - Lamb,,,,
ORDX157,565,Bhuna - Chicken, ,House white wine 75cl,Lamb Biryani,,,,,
ORDX158,1189,Bhuna - Chicken,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Korma - Lamb,,,
ORDX159,1061, ,Curry,Lamb Biryani,,,,,,
ORDX160,1391,Chicken Tikka Balti,Curry,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,,
ORDX161,1200,Plain Rice,Bhuna - Chicken, ,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,,
ORDX162,1021,Plain Rice,Bhuna - Chicken, ,House white wine 75cl,Special Fried Rice,Lamb Biryani,,,
ORDX163,772, ,House white wine 75cl,Curry,,,,,,
ORDX164,703,Chicken Tikka Balti,Vindaloo - Prawn,,,,,,,
ORDX165,949,Bhuna - Chicken, ,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,
ORDX166,1085,Chicken Tikka Balti,Curry,Lamb Biryani,,,,,,
ORDX167,616,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,Curry,Lamb Biryani,,,,
ORDX168,1203,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Korma - Lamb,,,,,
ORDX169,1263,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Curry,Korma - Lamb,,,
ORDX170,635,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,Curry,Vindaloo - Prawn,Korma - Lamb,,,
ORDX171,1026,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Curry,Korma - Lamb,,,,
ORDX172,953,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,
ORDX173,669,Plain Rice,Bhuna - Chicken,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Korma - Lamb,,
ORDX174,804,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Korma - Lamb,,
ORDX175,632,Plain Rice,Curry,Korma - Lamb,,,,,,
ORDX176,671,Bhuna - Chicken,Chicken Tikka Balti, ,Special Fried Rice,Vindaloo - Prawn,,,,
ORDX177,759,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Curry,Lamb Biryani,,,
ORDX178,748,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,,,
ORDX179,426,Bhuna - Chicken,Lamb Biryani,,,,,,,
ORDX180,1387,Plain Rice,Chicken Tikka Balti, ,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,,,
ORDX181,1316,House white wine 75cl,Curry,,,,,,,
ORDX182,1321,Plain Rice, ,Curry,Vindaloo - Prawn,Korma - Lamb,,,,
ORDX183,1046,Plain Rice,Special Fried Rice,Vindaloo - Prawn,Korma - Lamb,,,,,
ORDX184,1369,Plain Rice, ,House white wine 75cl,Curry,Lamb Biryani,Vindaloo - Prawn,,,
ORDX185,522,Plain Rice,Chicken Tikka Balti,,,,,,,
ORDX186,535,Bhuna - Chicken,Chicken Tikka Balti, ,Vindaloo - Prawn,,,,,
ORDX187,1261, ,Curry,Vindaloo - Prawn,,,,,,
ORDX188,1242,Special Fried Rice,Curry,Lamb Biryani,,,,,,
ORDX189,866,Special Fried Rice,Curry,,,,,,,
ORDX190,961,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Curry,Lamb Biryani,,,
ORDX191,759,Plain Rice, ,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,
ORDX192,1338,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,,,,
ORDX193,325,Bhuna - Chicken, ,Lamb Biryani,Korma - Lamb,,,,,
ORDX194,1279,Plain Rice,Bhuna - Chicken,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,,
ORDX195,381,Chicken Tikka Balti, ,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,,,,
ORDX196,624,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,,,
ORDX197,1042,Chicken Tikka Balti, ,,,,,,,
ORDX198,562,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Curry,Lamb Biryani,,,,
ORDX199,1083,Plain Rice,Lamb Biryani,,,,,,,
ORDX200,662,Bhuna - Chicken, ,,,,,,,
ORDX201,1152,Plain Rice, ,House white wine 75cl,Korma - Lamb,,,,,
ORDX202,654,Plain Rice, ,House white wine 75cl,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,,,
ORDX203,1361, ,Lamb Biryani,,,,,,,
ORDX204,798,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,,,
ORDX205,1052,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Curry,Korma - Lamb,,
ORDX206,631,Bhuna - Chicken, ,House white wine 75cl,Special Fried Rice,Korma - Lamb,,,,
ORDX207,912,Plain Rice,Korma - Lamb,,,,,,,
ORDX208,685,House white wine 75cl,Vindaloo - Prawn,Korma - Lamb,,,,,,
ORDX209,1186,Plain Rice,Special Fried Rice,Korma - Lamb,,,,,,
ORDX210,1161,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Curry,Korma - Lamb,,
ORDX211,607,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,,,
ORDX212,441,Plain Rice,Bhuna - Chicken,Special Fried Rice,,,,,,
ORDX213,668,Plain Rice,Vindaloo - Prawn,Korma - Lamb,,,,,,
ORDX214,405,Chicken Tikka Balti,Curry,,,,,,,
ORDX215,564,Plain Rice,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,,,,
ORDX216,759,Plain Rice,Bhuna - Chicken, ,House white wine 75cl,Lamb Biryani,Vindaloo - Prawn,,,
ORDX217,882,Special Fried Rice,Lamb Biryani,Korma - Lamb,,,,,,
ORDX218,546,Special Fried Rice,Lamb Biryani,,,,,,,
ORDX219,670,Plain Rice, ,House white wine 75cl,Korma - Lamb,,,,,
ORDX220,612,Chicken Tikka Balti,Korma - Lamb,,,,,,,
ORDX221,1301, ,Curry,Lamb Biryani,Korma - Lamb,,,,,
ORDX222,917,Chicken Tikka Balti,Special Fried Rice,Korma - Lamb,,,,,,
ORDX223,561,Plain Rice,House white wine 75cl,Curry,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,,
ORDX224,1233,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,
ORDX225,675,Bhuna - Chicken, ,House white wine 75cl,Lamb Biryani,Korma - Lamb,,,,
ORDX226,1022,Plain Rice,House white wine 75cl,Curry,Vindaloo - Prawn,,,,,
ORDX227,1211, ,House white wine 75cl,,,,,,,
ORDX228,912,Chicken Tikka Balti,House white wine 75cl,,,,,,,
ORDX229,733,Plain Rice,Chicken Tikka Balti, ,House white wine 75cl,Lamb Biryani,Korma - Lamb,,,
ORDX230,411,Plain Rice,Chicken Tikka Balti,Curry,Vindaloo - Prawn,,,,,
ORDX231,1084,Bhuna - Chicken, ,House white wine 75cl,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,
ORDX232,371,Chicken Tikka Balti,Curry,Korma - Lamb,,,,,,
ORDX233,959,Chicken Tikka Balti,Special Fried Rice,,,,,,,
ORDX234,944,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Curry,Vindaloo - Prawn,Korma - Lamb,
ORDX235,323,Plain Rice, ,House white wine 75cl,Special Fried Rice,Korma - Lamb,,,,
ORDX236,1287,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Korma - Lamb,,
ORDX237,687,Bhuna - Chicken,Chicken Tikka Balti, ,House white wine 75cl,Vindaloo - Prawn,,,,
ORDX238,1272,Bhuna - Chicken,Chicken Tikka Balti,Vindaloo - Prawn,Korma - Lamb,,,,,
ORDX239,1167,Bhuna - Chicken,Special Fried Rice,Korma - Lamb,,,,,,
ORDX240,1237,Plain Rice,Bhuna - Chicken,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,,,
ORDX241,329,Plain Rice,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,
ORDX242,1190,Chicken Tikka Balti,Vindaloo - Prawn,Korma - Lamb,,,,,,
ORDX243,1323,Plain Rice, ,,,,,,,
ORDX244,984,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti, ,Curry,Korma - Lamb,,,
ORDX245,436,Bhuna - Chicken,House white wine 75cl,Vindaloo - Prawn,,,,,,
ORDX246,866,Plain Rice,House white wine 75cl,Special Fried Rice,Curry,Vindaloo - Prawn,,,,
ORDX247,866,Plain Rice,Chicken Tikka Balti,House white wine 75cl,Curry,Lamb Biryani,Vindaloo - Prawn,,,
ORDX248,1108,Plain Rice, ,House white wine 75cl,Curry,Vindaloo - Prawn,,,,
ORDX249,1234,Plain Rice,Chicken Tikka Balti, ,Lamb Biryani,Korma - Lamb,,,,
ORDX250,794,Plain Rice,Bhuna - Chicken,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,
ORDX251,1304,Plain Rice,Bhuna - Chicken, ,Special Fried Rice,Korma - Lamb,,,,
ORDX252,468,Plain Rice,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Vindaloo - Prawn,Korma - Lamb,,
ORDX253,822, ,House white wine 75cl,Curry,Lamb Biryani,Korma - Lamb,,,,
ORDX254,1370,Bhuna - Chicken,Special Fried Rice,,,,,,,
ORDX255,471,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Curry,Lamb Biryani,Vindaloo - Prawn,,
ORDX256,596,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Vindaloo - Prawn,Korma - Lamb,,
ORDX257,983,Chicken Tikka Balti,Special Fried Rice,Lamb Biryani,Korma - Lamb,,,,,
ORDX258,1067,Bhuna - Chicken,Korma - Lamb,,,,,,,
ORDX259,577,Chicken Tikka Balti,House white wine 75cl,Special Fried Rice,Vindaloo - Prawn,,,,,
ORDX260,1204,Curry,Korma - Lamb,,,,,,,
ORDX261,733,Plain Rice,Bhuna - Chicken,Special Fried Rice,Curry,Korma - Lamb,,,,
ORDX262,441, ,House white wine 75cl,Special Fried Rice,Curry,Vindaloo - Prawn,,,,
ORDX263,852,Chicken Tikka Balti, ,Special Fried Rice,Lamb Biryani,Korma - Lamb,,,,
ORDX264,660,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,House white wine 75cl,Curry,Vindaloo - Prawn,,,
ORDX265,1158,Plain Rice,House white wine 75cl,Curry,Lamb Biryani,Korma - Lamb,,,,
ORDX266,617,Plain Rice,Bhuna - Chicken, ,House white wine 75cl,Curry,,,,
ORDX267,697, ,Special Fried Rice,Curry,Lamb Biryani,,,,,
ORDX268,1291,Plain Rice,Bhuna - Chicken,Chicken Tikka Balti,Curry,Lamb Biryani,,,,
ORDX269,430,Bhuna - Chicken, ,Special Fried Rice,Curry,Lamb Biryani,,,,
ORDX270,397,Chicken Tikka Balti, ,House white wine 75cl,Special Fried Rice,Korma - Lamb,,,,
ORDX271,435, ,House white wine 75cl,Curry,Lamb Biryani,Vindaloo - Prawn,,,,
ORDX272,394,Bhuna - Chicken,Chicken Tikka Balti,Korma - Lamb,,,,,,
ORDX273,418,Plain Rice,Bhuna - Chicken,House white wine 75cl,Special Fried Rice,Lamb Biryani,Vindaloo - Prawn,Korma - Lamb,,
